feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness,kurtosis
squareroot_glszm_LargeAreaLowGrayLevelEmphasis,0.0025833419816415864,0.042467139512300495,0.007748084965158134,0.037377049180327866,0.16262295081967212,4.154663981811931,19.323170324891265
log-sigma-3-0-mm-3D_glcm_SumSquares,0.002568546278164029,0.044642054066061976,0.00757965174003603,0.0380327868852459,0.1619672131147541,3.969086084026146,21.196261460385557
wavelet-HHH_glcm_SumEntropy,0.0025620539377458735,0.2757419870048761,0.013206612694213561,0.08196721311475409,0.1180327868852459,16.93886600416468,345.91359078275036
x_min,0.0025598283664979883,0.08692582875490189,0.01007131409167982,0.07475409836065573,0.12524590163934426,1.1241281084250498,37.44595505819467
logarithm_glrlm_LongRunHighGrayLevelEmphasis,0.002558098065953886,0.12762540377676487,0.009451732174485077,0.26163934426229507,0.07016393442622951,-6.640934775298153,85.05392445332711
wavelet-LHH_firstorder_Median,0.002555759968907098,0.03749146232381463,0.005593262591347781,0.2039344262295082,0.1960655737704918,-0.278755892246997,14.793992359297253
lbp-3D-m2_firstorder_MeanAbsoluteDeviation,0.002550308533080039,0.0336247225292027,0.006556354109065684,0.06295081967213115,0.13704918032786886,2.500705561733354,12.28533449842444
log-sigma-4-0-mm-3D_firstorder_TotalEnergy,0.0025428454862632703,0.07772004075348377,0.008739495014361961,0.03016393442622951,0.16983606557377048,5.873748167122939,44.64838463203275
original_glrlm_LongRunEmphasis,0.0025385629503941964,0.13702795088291167,0.010010491625165468,0.05311475409836065,0.14688524590163934,7.041697935409519,102.73892403804226
wavelet-HLH_glcm_SumAverage,0.0025376726142428527,0.054079111367464065,0.007335052916810964,0.12918032786885245,0.07081967213114754,-2.3604438049634595,18.120376523808826
squareroot_ngtdm_Complexity,0.0025243818456765032,0.11142459876835346,0.009415063820619752,0.1678688524590164,0.032131147540983604,-7.402560987806459,78.96322225569065
log-sigma-3-0-mm-3D_glszm_ZoneVariance,0.002523665034917534,0.03327995583415031,0.00659059245013152,0.07868852459016394,0.12131147540983607,1.5520952301151625,11.619913022248761
wavelet-HHH_glcm_SumAverage,0.002504840748651016,0.047088120691478254,0.007147643754999946,0.1219672131147541,0.0780327868852459,-1.7613535684689692,16.527225101446632
wavelet-LHH_glrlm_RunEntropy,0.0024923003822870477,0.028761511594057085,0.006339804837492483,0.10688524590163935,0.09311475409836066,-0.49446590952896524,9.982875632894366
lbp-3D-m2_firstorder_TotalEnergy,0.0024858205576412055,0.026987562775611876,0.0061955704898207535,0.08,0.12,0.6427167050553335,9.03734404962508
square_gldm_DependenceNonUniformityNormalized,0.0024840241373073856,0.03274639716371894,0.00633270973220046,0.14557377049180328,0.05442622950819672,-2.8369943839271934,12.827325696909844
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.002482235239678233,0.1410890519618988,0.012058104939190569,0.19147540983606556,0.20852459016393443,-0.34778564447425175,111.27882718536323
log-sigma-3-0-mm-3D_glcm_Correlation,0.0024437606770850613,0.02170839987695217,0.005665095723489032,0.12655737704918033,0.07344262295081967,-0.5575581231545437,6.3463410586414035
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.002440756391159818,0.017453887984156608,0.0054707599384611815,0.11934426229508197,0.08065573770491803,0.06785804499808062,4.708121379143745
lbp-3D-k_firstorder_Minimum,0.0024399175792199764,0.21846899397671224,0.011692132419708564,0.008524590163934427,0.19147540983606556,13.42770083875307,229.99972714137704
squareroot_glcm_ClusterTendency,0.0024276412753296644,0.10845818251371384,0.01030618229343393,0.1842622950819672,0.015737704918032787,-8.064628491192545,75.20998051925606
wavelet-HHL_firstorder_Range,0.002426308141178519,0.022162726167589426,0.005796464962417287,0.09508196721311475,0.10491803278688525,-0.0765506158048789,6.765806183286863
exponential_firstorder_10Percentile,0.002422705950172707,0.02150612968951464,0.005516509054837433,0.07737704918032787,0.12262295081967213,1.3697440783767636,5.797892252207861
